Site,NOAA site name,SRA accession numbers 16S,Lat,Long,Median Total Phosphorus,Median Chl a
nearshore1,WLE12,É - ...,41.703,-83.254,45.2,18.49
nearshore2,WLE2,É - ...,41.762,-83.333,44.3,13.72
offshore,WLE4,É - ...,41.826,-83.193,17.7,5.86
